table,column,param,join,range,const,total,n_files
custconfirmjour,salesid,0,4,0,0,4,4
custconfirmjour,confirmdocnum,0,4,0,0,4,4
custconfirmjour,confirmdate,2,0,2,0,2,1
custinvoicejour,salesid,2,39,0,1,42,30
custinvoicejour,invoicedate,34,4,40,3,41,19
custinvoicejour,orderaccount,5,24,0,1,30,16
custinvoicejour,invoiceid,11,18,0,1,30,28
custinvoicejour,dataareaid,1,12,0,8,21,14
custinvoicejour,invoiceaccount,8,6,0,4,18,13
custinvoicejour,recid,3,1,0,4,8,5
custinvoicejour,returnreasoncodeid,0,5,0,1,6,6
custinvoicejour,usvprogramid,0,6,0,0,6,3
custinvoicejour,inventlocationid,0,5,0,0,5,5
custinvoicejour,customerref,4,0,0,1,5,5
custinvoicejour,deliverypostaladdress,0,4,0,0,4,4
custinvoicejour,invoiceamount,0,0,1,3,3,3
custinvoicejour,usvcustponumber,3,0,0,0,3,1
custinvoicejour,usvoriginatingaccount,2,0,0,0,2,2
custinvoicejour,salesbalance,0,0,0,2,2,1
custinvoicejour,createddatetime,2,0,2,0,2,1
custinvoicejour,postedstate,1,0,0,0,1,1
custinvoicesaleslink,origsalesid,1,1,0,0,2,1
custinvoicesaleslink,dataareaid,0,1,0,0,1,1
custinvoicetrans,itemid,2,22,0,0,24,20
custinvoicetrans,invoiceid,3,17,0,2,22,14
custinvoicetrans,dataareaid,11,7,0,1,19,10
custinvoicetrans,linenum,0,14,0,0,14,13
custinvoicetrans,salesid,0,10,0,0,10,7
custinvoicetrans,recid,5,3,0,0,8,5
custinvoicetrans,inventtransid,0,4,0,0,4,3
custinvoicetrans,invoicedate,0,4,0,0,4,4
custinvoicetrans,usvprogramid,0,3,0,0,3,2
custinvoicetrans,origsalesid,0,3,0,0,3,2
custinvoicetrans,taxamount,0,0,0,2,2,1
custinvoicetrans,qty,0,0,0,1,1,1
custsettlement,transrecid,0,2,0,0,2,2
custsettlement,offsetrecid,0,1,0,0,1,1
custsettlement,partition,1,0,0,0,1,1
custsettlement,dataareaid,0,0,0,1,1,1
custsettlement,closeddate,0,0,0,1,1,1
custtrans,dataareaid,1,28,0,5,34,5
custtrans,invoice,1,4,0,23,28,3
custtrans,partition,3,21,0,0,24,4
custtrans,transtype,0,4,0,10,14,7
custtrans,accountnum,1,8,0,0,9,4
custtrans,recid,0,8,0,0,8,7
custtrans,voucher,0,3,0,2,5,3
custtrans,mcrpaymorderid,0,4,0,0,4,3
custtrans,orderaccount,0,4,0,0,4,3
custtrans,transdate,0,3,0,0,3,2
custtrans,closed,0,0,0,3,3,3
ecoresattributevalue,value,0,5,0,0,5,1
ecoresattributevalue,attribute,0,1,0,0,1,1
ecoresvalue,recid,0,2,0,0,2,1
ecoresvalue,instancerelationtype,0,0,0,2,2,1
generaljournalaccountentry,postingtype,0,0,0,4,4,2
generaljournalaccountentry,generaljournalentry,0,2,0,0,2,2
generaljournalaccountentry,ledgeraccount,1,0,0,0,1,1
generaljournalaccountentry,ledgerdimension,0,1,0,0,1,1
generaljournalentry,subledgervoucher,1,2,0,0,3,2
generaljournalentry,subledgervoucherdataareaid,1,2,0,0,3,2
generaljournalentry,recid,0,2,0,0,2,1
generaljournalentry,ledger,0,1,0,0,1,1
generaljournalentry,fiscalcalendarperiod,0,1,0,0,1,1
generaljournalentry,postinglayer,0,0,0,1,1,1
inventtrans,statusissue,0,0,5,18,18,6
inventtrans,inventtransorigin,1,15,0,0,16,7
inventtrans,qty,0,0,1,1,1,1
inventtrans,packingslipreturned,0,0,0,1,1,1
inventtrans,returninventtransorigin,0,0,0,1,1,1
inventtrans,recid,0,1,0,0,1,1
inventtrans,invoiceid,0,1,0,0,1,1
inventtransfertable,transferid,0,1,0,0,1,1
inventtransorigin,inventtransid,0,10,0,0,10,6
ledgerjournaltable,journalname,0,0,0,3,3,2
ledgerjournaltable,posteddatetime,3,0,3,0,3,2
ledgerjournaltable,dataareaid,0,0,0,2,2,2
ledgerjournaltable,posted,0,0,0,2,2,2
ledgerjournaltable,journaltype,0,0,0,1,1,1
markuptrans,transrecid,15,68,0,0,83,19
markuptrans,markupcode,0,3,0,73,76,24
markuptrans,transtableid,12,0,0,46,58,12
markuptrans,markupcategory,0,18,0,0,18,5
markuptrans,dataareaid,5,6,0,0,11,3
markuptrans,mcrsavedrecid,0,3,0,0,3,2
markuptrans,calculatedamount,0,0,0,2,2,1
purchline,purchid,3,1,0,0,4,4
purchline,itemid,1,1,0,0,2,1
purchline,purchstatus,0,0,0,2,2,2
purchline,dataareaid,1,0,0,1,2,2
purchline,vendaccount,1,1,0,0,2,1
purchline,inventdimid,0,1,0,0,1,1
purchline,isdeleted,0,0,0,1,1,1
purchline,purchqty,0,0,0,1,1,1
salesline,salesid,4,27,0,0,31,25
salesline,itemid,1,29,0,0,30,14
salesline,salestype,11,0,0,0,11,6
salesline,salesstatus,5,0,0,5,10,9
salesline,inventtransid,0,8,0,0,8,7
salesline,salesqty,0,0,8,8,8,8
salesline,dataareaid,5,2,0,0,7,7
salesline,linenum,1,5,0,0,6,6
salesline,inventtransidreturn,1,4,0,0,5,5
salesline,usvprogramid,0,4,0,0,4,3
salesline,projid,0,3,0,0,3,3
salesline,remainsalesphysical,0,0,3,3,3,3
salesline,inventrefid,0,0,0,2,2,2
salesline,usvclaimnumber,1,0,0,0,1,1
salesline,usvoriginvoiceid,0,1,0,0,1,1
