"phase","table","row_count","size_mb","landed"
"0","sysuserlog","10091295","6104.25","True"
"0","dimensionattributelevelvalue","1908769","943.15","True"
"0","dimensionattributevaluecombination","1430682","812.56","True"
"0","dimensionattributevaluegroupcombination","1136579","530.02","True"
"0","logisticspostaladdress","698670","385.35","True"
"0","dirpartytable","676160","509.18","True"
"0","dimensionattributevaluegroup","593336","289.31","True"
"0","logisticslocation","495916","276.66","True"
"0","smmactivities","393264","213.23","True"
"0","dirpartylocation","369855","235.36","True"
"0","custtable","360986","691.73","True"
"0","logisticselectronicaddressrole","359824","163.40","True"
"0","logisticselectronicaddress","349071","252.78","True"
"0","smmactivityparentlinktable","322003","151.81","True"
"0","dirorganizationname","254582","148.28","True"
"0","smmresponsibilitiesempltable","245608","121.05","True"
"0","dimensionattributevalue","239404","188.61","True"
"0","dimensionattributevaluesetitem","219196","86.66","True"
"0","dirpartylocationrole","193240","72.57","True"
"0","dirorganizationbase","191076","79.62","True"
"0","dirorganization","190870","81.24","True"
"0","dimensionattributevalueset","141764","50.48","True"
"0","numbersequencetable","37505","35.41","True"
"0","dirdunsnumber","24639","7.45","True"
"0","sysuserinfo","15090","7.18","True"
"0","hcmemployment","14426","9.20","True"
"0","dirpersonname","12917","7.52","True"
"0","dirperson","12777","7.80","True"
"0","hcmworkertitle","12740","7.23","True"
"0","hcmworker","12651","6.94","True"
"0","workcalendardate","5879","2.07","True"
"0","unitofmeasureconversion","5823","3.48","True"
"0","workcalendardateline","4208","2.91","True"
"0","dimensionhierarchylevel","689","0.45","True"
"0","hcmpositiondetail","620","0.45","True"
"0","hcmpositionworkerassignment","611","0.52","True"
"0","hcmpositionhierarchy","603","0.45","True"
"0","hcmposition","578","0.40","True"
"0","logisticslocationext","549","0.33","True"
"0","dimensionhierarchy","341","0.32","True"
"0","logisticsaddresscountryregion","253","0.27","True"
"0","ominternalorganization","206","0.20","True"
"0","omoperatingunit","162","0.20","True"
"0","currency","155","0.26","True"
"0","companyinfo","74","0.20","True"
"0","hcmpersondetails","64","0.21","True"
"0","dimensionattribute","54","0.20","True"
"0","hcmjobdetail","47","0.20","True"
"0","unitofmeasure","34","0.20","True"
"0","logisticslocationrole","31","0.20","True"
"0","hcmjob","22","0.07","True"
"0","hcmtitle","21","0.07","True"
"0","workcalendartable","12","0.07","True"
"0","dirnameaffix","10","0.07","True"
"0","dirnamesequence","9","0.07","True"
"0","dimensionattributedircategory","9","0.07","True"
"0","omteammembershipcriterion","8","0.07","True"
"0","omteam","7","0.07","True"
"0","dimensionhierarchyintegration","4","0.07","True"
"0","hcmpositionhierarchytype","2","0.07","True"
"0","systemparameters","1","0.07","True"
"0","hcmreasoncode","1","0.07","True"
"0","dimensionparameters","1","0.07","True"
"0","dimattributecustgroup","0","0","False"
"0","dimattributefinancialtag","0","0","False"
"0","dimattributecusttable","0","0","False"
"0","dimattributehcmworker","0","0","False"
"0","dimattributebankaccounttable","0","0","False"
"0","dimattributehcmjob","0","0","False"
"0","dimattributehcmposition","0","0","False"
"0","dimattributecompanyinfo","0","0","False"
"0","companynafcode","0","0.00","True"
"0","dirpartypostaladdressview","0","0","False"
"0","workcalendardayentity","0","0","False"
"0","workcalendarentity","0","0","False"
"0","workcalendartimeintervalentity","0","0","False"
"0","v_dirpartytable","0","0","False"
"0","v_dirorganization","0","0","False"
"0","vdefaultdimensionview","0","0","False"
"0","v_dirperson","0","0","False"
"0","dimattributevendtable","0","0","False"
"0","hcmworkerdetailsview","0","0","False"
"0","dimattributeretailchannel","0","0","False"
"0","dimattributevendgroup","0","0","False"
"0","dimensioncombinationentity","0","0","False"
"0","dirpartylocationrolesview","0","0","False"
"0","dirpartynameprimaryaddressview","0","0","False"
"0","dimensionsetentity","0","0","False"
"0","dirpartybaseentity","0","0","False"
"0","dimattributemainaccount","0","0","False"
"0","logisticspostaladdressview","0","0","False"
"0","dimattributeinventitemgroup","0","0","False"
"0","dimattributeinventtable","0","0","False"
"0","logisticspostaladdressbaseentity","0","0","False"
"0","dimattributeomdepartment","0","0","False"
"0","dimattributeomvaluestream","0","0","False"
"0","dimattributeombusinessunit","0","0","False"
"0","dimattributeomcostcenter","0","0","False"
"2","whsworkline","528223972","445547.46","True"
"2","inventdim","328020488","142929.09","True"
"2","whsworktable","239883244","136953.52","True"
"2","usvexclusionprogramcustomerproducts","151290470","75468.07","True"
"2","ecoresvalue","82913822","43290.38","True"
"2","ecoresattributevalue","82901292","34353.06","True"
"2","ecorestextvalue","78921867","29782.20","True"
"2","whsshipmenttable","65611292","43067.12","True"
"2","ecoresinstancevalue","64779387","25902.88","True"
"2","whsloadtable","55828568","47756.11","True"
"2","whsloadline","45912598","58259.95","True"
"2","usvecoresprodpartsattributes","17711428","7253.57","True"
"2","usvecoresprodtiresattributes","17711428","10830.63","True"
"2","usvecoresprodlubeschemicalattributes","17711428","6405.35","True"
"2","whsworklinecyclecount","10978940","8709.35","True"
"2","usvecoresprodtiresaccessoriesattributes","8855714","6360.93","True"
"2","usvecoresprodmicsitemsattributes","8855714","6208.07","True"
"2","usvecoresprodexhuastattributes","8855714","6078.67","True"
"2","usvecoresprodtubesattributes","8855714","6868.69","True"
"2","usvecoresprodtiresattributesext","8855714","5231.87","True"
"2","custaging","3245691","2748.67","True"
"2","ecoresbooleanvalue","2004637","848.59","True"
"2","usvproductfirstreceiptdate","1846616","897.23","True"
"2","wmslocation","1640834","704.89","True"
"2","pricediscadmtrans","1491095","2160.66","True"
"2","ecoresfloatvalue","813898","367.52","True"
"2","pricedisctable","783176","886.30","True"
"2","ecoresintvalue","655967","290.38","True"
"2","ecoresdatetimevalue","517094","220.09","True"
"2","custvendexternalitem","475791","288.14","True"
"2","inventtablemodule","466053","446.90","True"
"2","custtable","360986","691.73","True"
"2","inventtable","310702","467.95","True"
"2","mcrholdcodetrans","205735","144.84","True"
"2","ecoresproductcategory","204706","79.41","True"
"2","custdefaultlocation","171968","63.32","True"
"2","pdsapprovedvendorlist","169743","83.81","True"
"2","whsecoresproducttransportationcodes","156356","55.37","True"
"2","ecoresproducttranslation","155369","68.96","True"
"2","ecoresdistinctproduct","155369","53.62","True"
"2","ecoresproduct","155369","69.89","True"
"2","inventiteminventsetup","155352","148.38","True"
