"phase","table","date_col","row_count","size_mb"
"0","sysuserlog","modifieddatetime","10091295","6104.25"
"2","whsworkline","modifieddatetime","528223972","445547.46"
"2","inventdim","modifieddatetime","328020488","142929.09"
"2","whsworktable","modifieddatetime","239883244","136953.52"
"2","usvexclusionprogramcustomerproducts","modifieddatetime","151290470","75468.07"
"2","ecoresvalue","modifieddatetime","82913822","43290.38"
"2","ecoresattributevalue","modifieddatetime","82901292","34353.06"
"2","ecorestextvalue","modifieddatetime","78921867","29782.20"
"2","whsshipmenttable","modifieddatetime","65611292","43067.12"
"2","ecoresinstancevalue","modifieddatetime","64779387","25902.88"
"2","whsloadtable","modifieddatetime","55828568","47756.11"
"2","whsloadline","modifieddatetime","45912598","58259.95"
"2","usvecoresprodpartsattributes","modifieddatetime","17711428","7253.57"
"2","usvecoresprodtiresattributes","modifieddatetime","17711428","10830.63"
"2","usvecoresprodlubeschemicalattributes","modifieddatetime","17711428","6405.35"
"2","whsworklinecyclecount","modifieddatetime","10978940","8709.35"
"2","usvecoresprodtiresaccessoriesattributes","modifieddatetime","8855714","6360.93"
"2","usvecoresprodmicsitemsattributes","modifieddatetime","8855714","6208.07"
"2","usvecoresprodexhuastattributes","modifieddatetime","8855714","6078.67"
"2","usvecoresprodtubesattributes","modifieddatetime","8855714","6868.69"
"2","usvecoresprodtiresattributesext","modifieddatetime","8855714","5231.87"
"3","inventtrans","shippingdateconfirmed","495226162","373685.94"
"3","inventsum","modifieddatetime","399078046","329429.82"
"3","inventtransorigin","modifieddatetime","238538449","132268.30"
"3","vendsettlement","transdate","227009580","125283.79"
"3","vendtrans","transdate","179939436","169215.48"
"3","custtrans","transdate","134756602","126006.80"
"3","taxtrans","transdate","114310054","110083.88"
"3","custinvoicetrans","invoicedate","103941126","138014.41"
"3","custinvoicejour","invoicedate","90748712","125455.43"
"3","custsettlement","transdate","84237485","84485.11"
"3","custconfirmjour","confirmdate","57136818","26550.23"
"3","taxjournaltrans","transdate","52095178","39325.65"
"3","vendinvoicejour","invoicedate","51546512","62295.68"
"3","inventtransoriginsalesline","modifieddatetime","36614473","16186.60"
"3","custinvoicesaleslink","invoicedate","30252727","23917.43"
"3","markuptrans","transdate","26929460","28769.93"
"3","reqitemtable","modifieddatetime","24638073","25787.24"
"3","purchlinehistory","shippingdateconfirmed","22494194","24801.41"
"3","purchline","shippingdateconfirmed","20041706","34061.03"
"3","vendpackingsliptrans","accountingdate","18454338","16352.75"
"3","vendinvoicetrans","invoicedate","18431214","21831.23"
"3","inventtransferline","modifieddatetime","12815994","15238.14"
"3","usvsspprogramcustomer","modifieddatetime","9382436","5694.10"
"3","usvsspprogramproducts","modifieddatetime","9235126","5549.79"
"3","inventtransfertable","modifieddatetime","8951000","6883.45"
"3","inventvaluereporttmpline","transdate","8706506","5738.52"
"3","custinteresttrans","transdate","6535250","6948.60"
"3","inventjournaltrans","transdate","6220930","4954.77"
"3","vendinvoiceinfoline","modifieddatetime","5529502","6210.31"
"4","generaljournalaccountentry","modifieddatetime","475022861","431676.92"
"4","generaljournalentry","accountingdate","153010212","109012.57"
"4","salesline","shippingdateconfirmed","75651260","187890.47"
"4","salestable","shippingdateconfirmed","59872716","110389.58"
"4","usvsalescommissionresptable","invoicedate","48530978","28231.41"
"4","subledgerjournalaccountentrydistribution","modifieddatetime","42583392","19821.84"
"4","ledgertransvoucherlink","transdate","37065117","16616.34"
"4","whssalesline","modifieddatetime","34782528","20411.25"
"4","usvcuststatement","transdate","31938815","19514.40"
"4","tmssalestable","modifieddatetime","29892286","16570.37"
"4","ledgerjournaltable","modifieddatetime","27696168","24628.89"
"4","usvcustinvoicejourstatement","invoicedate","19966754","12568.24"
"4","ledgerentryjournal","modifieddatetime","14876537","5881.91"
