table_name|dataareaid|rows
----------|----------|----
custconfirmjour|40|30308525
custconfirmjour|20|1
custinteresttrans|40|6748151
custinteresttrans|20|16351
custinteresttrans|91|73
custinteresttrans|50|48
custinvoicesaleslink|40|32183732
custinvoicesaleslink|50|21913
custinvoicesaleslink|70|13816
custinvoicesaleslink|75|3441
custinvoicesaleslink|91|2279
custinvoicesaleslink|20|6
custsettlement|40|71461602
custsettlement|20|17426729
custsettlement|30|183312
custsettlement|70|35886
custsettlement|50|33664
custsettlement|75|10828
custsettlement|91|4108
custsettlement|21|2196
custsettlement|97|28
custsettlement|99|4
ecorestextvalue|dat|87525216
ecoresvalue|dat|91787602
generaljournalaccountentry|dat|497322090
inventdim|40|175436287
inventdim|20|1011
inventdim|70|104
inventdim|75|8
inventdim|50|4
inventdim|91|4
inventdim|97|1
inventdim|451|1
inventdim|102|1
inventdim|49|1
inventdim|98|1
inventdim|22fx|1
inventdim|150|1
inventdim|90|1
inventdim|22|1
inventdim|151|1
inventdim|101|1
inventdim|divt|1
inventdim|96q|1
inventdim|96|1
inventdim|dat|1
inventdim|710|1
inventdim|30|1
inventdim|94|1
inventdim|100|1
inventdim|51fx|1
inventdim|21|1
inventdim|95|1
inventdim|divp|1
inventdim|75fx|1
inventdim|71|1
inventdim|152|1
inventdim|450|1
inventdim|93|1
inventdim|sff|1
inventdim|99|1
inventjournaltrans|40|3301634
inventjournaltrans|20|17
inventtrans|40|258721135
inventtrans|20|652
inventtransferline|40|6910923
inventtransfertable|40|4805632
inventvaluereporttmpline|40|4385543
inventvaluereporttmpline|20|132
ledgerjournaltable|40|14353583
ledgerjournaltable|20|184483
ledgerjournaltable|99|59616
ledgerjournaltable|70|27063
ledgerjournaltable|50|16892
ledgerjournaltable|30|11494
ledgerjournaltable|75|7714
ledgerjournaltable|95|7484
ledgerjournaltable|21|5684
ledgerjournaltable|91|5058
ledgerjournaltable|90|2790
ledgerjournaltable|100|2223
ledgerjournaltable|710|1828
ledgerjournaltable|96|1286
ledgerjournaltable|97|1263
ledgerjournaltable|150|814
ledgerjournaltable|450|584
ledgerjournaltable|sff|249
ledgerjournaltable|451|244
ledgerjournaltable|102|175
ledgerjournaltable|divp|138
ledgerjournaltable|49|133
ledgerjournaltable|101|113
ledgerjournaltable|98|100
ledgerjournaltable|22|90
ledgerjournaltable|94|70
ledgerjournaltable|divt|46
ledgerjournaltable|51|16
ledgerjournaltable|96q|12
ledgerjournaltable|93|9
ledgerjournaltable|152|9
ledgerjournaltable|151|7
ledgerjournaltable|71|1
markuptrans|40|14743485
markuptrans|20|4
purchlinehistory|40|12012443
purchlinehistory|20|5
subledgerjournalaccountentrydistribution|dat|45838562
sysuserlog|dat|10638182
taxjournaltrans|40|54565287
taxjournaltrans|70|403793
taxjournaltrans|75|33607
taxjournaltrans|50|21027
taxjournaltrans|91|24
taxtrans|40|60248885
taxtrans|70|446138
taxtrans|50|61735
taxtrans|75|45445
taxtrans|91|7410
tmssalestable|40|31895451
usvcustinvoicejourstatement|40|20808040
usvcuststatement|40|33276664
usvsalescommissionresptable|40|51548996
vendinvoicetrans|40|10432865
vendinvoicetrans|20|96751
vendinvoicetrans|99|4746
vendinvoicetrans|50|211
vendinvoicetrans|710|29
vendinvoicetrans|96|28
vendinvoicetrans|sff|28
vendinvoicetrans|100|21
vendinvoicetrans|91|17
vendinvoicetrans|90|10
vendinvoicetrans|75|4
vendinvoicetrans|150|3
vendinvoicetrans|97|2
vendpackingsliptrans|40|9936389
vendpackingsliptrans|20|129
whsloadline|40|49127109
whsloadtable|40|29998402
whssalesline|40|37073457
whssalesline|20|3
whsshipmenttable|40|35012384
whsworkline|40|282508066
whsworktable|40|128277738
