"phase","table","row_count","size_mb","partition_column","partition_type","interval","rationale","dataareaid_distinct"
"0","sysuserlog","10091295","6104.25","createddatetime","LIST+RANGE","LIST(DataAreaId) + monthly","10M user log rows; createddatetime spans 2018-2026; composite LIST(dataareaid) → RANGE(date)","1"
"0","dimensionattributelevelvalue","1908769","943.15","","NONE","","small table (1908769 rows / 943.15 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevaluecombination","1430682","812.56","","NONE","","small table (1430682 rows / 812.56 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevaluegroupcombination","1136579","530.02","","NONE","","small table (1136579 rows / 530.02 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticspostaladdress","698670","385.35","","NONE","","small table (698670 rows / 385.35 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartytable","676160","509.18","","NONE","","small table (676160 rows / 509.18 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevaluegroup","593336","289.31","","NONE","","small table (593336 rows / 289.31 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticslocation","495916","276.66","","NONE","","small table (495916 rows / 276.66 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","smmactivities","393264","213.23","","NONE","","small table (393264 rows / 213.23 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartylocation","369855","235.36","","NONE","","small table (369855 rows / 235.36 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","custtable","360986","691.73","","NONE","","small table (360986 rows / 691.73 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticselectronicaddressrole","359824","163.40","","NONE","","small table (359824 rows / 163.40 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","logisticselectronicaddress","349071","252.78","","NONE","","small table (349071 rows / 252.78 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","smmactivityparentlinktable","322003","151.81","","NONE","","small table (322003 rows / 151.81 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirorganizationname","254582","148.28","","NONE","","small table (254582 rows / 148.28 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","smmresponsibilitiesempltable","245608","121.05","","NONE","","small table (245608 rows / 121.05 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevalue","239404","188.61","","NONE","","small table (239404 rows / 188.61 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dimensionattributevaluesetitem","219196","86.66","","NONE","","small table (219196 rows / 86.66 MB) - no partitioning needed; index on DataAreaId + business key",""
"0","dirpartylocationrole","193240","72.57","","NONE","","small table (193240 rows / 72.57 MB) - no partitioning needed; index on DataAreaId + business key",""
